pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_MYOTUBE_CELL_DEVELOPMENT,0.0014082799505820295,0.03226241341333377,4.334358974358975,6,15,GO:BP,6.7336860670194,yellow,Myotube Cell Development,ACTA1/ACTN3/COL6A1/LMOD3/PLEC/PPP3CA,6,0.03226241341333377,GOBP_MYOTUBE_CELL_DEVELOPMENT
GOBP_RESPONSE_TO_MECHANICAL_STIMULUS,0.001938181208476429,0.04341525906987201,3.6119658119658116,7,21,GO:BP,5.0638297872340425,yellow,Response To Mechanical Stimulus,COL1A1/COL6A1/MAP2K4/MAPK3/PLEC/TCAP/TTN,7,0.04341525906987201,GOBP_RESPONSE_TO_MECHANICAL_STIMULUS
HALLMARK_APICAL_JUNCTION,0.003764417360395733,0.0451730083247488,2.5799755799755797,10,42,Hallmark,3.185810810810811,yellow,Apical Junction,ACTA1/ACTB/ACTN1/ACTN2/ACTN3/ACTN4/FBN1/NECTIN1/SPEG/VWF,10,0.0451730083247488,HALLMARK_APICAL_JUNCTION
GOBP_SENSORY_SYSTEM_DEVELOPMENT,0.002555641976611796,0.054810364094142354,2.708974358974359,10,40,GO:BP,3.4018018018018017,yellow,Sensory System Development,COL4A1/CRYBG3/FBN1/FLT1/LAMB2/MYOM1/NECTIN1/SSPN/TMOD1/VIM,10,0.054810364094142354,GOBP_SENSORY_SYSTEM_DEVELOPMENT
GOBP_HEART_MORPHOGENESIS,0.002799167465695214,0.05758287358001584,3.095970695970696,8,28,GO:BP,4.059893048128342,yellow,Heart Morphogenesis,MYH7/MYL3/SYNPO2L/TCAP/TNNC1/TNNI1/TPM1/TTN,8,0.05758287358001584,GOBP_HEART_MORPHOGENESIS
REACTOME_SIGNALING_BY_MET,0.0029742477734476963,0.06602830057053885,3.8244343891402712,6,17,Reactome,5.503607503607504,yellow,Signaling By Met,COL1A1/COL1A2/COL3A1/LAMA2/LAMB2/LAMC1,6,0.06602830057053885,REACTOME_SIGNALING_BY_MET
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,0.0033047927753475756,0.06662462235100712,2.0639804639804638,16,84,GO:BP,2.4318107131120605,yellow,Regulation Of Supramolecular Fiber Organization,ACTN2/CAPZA1/CAPZA2/CAPZB/HSPG2/LMOD2/LMOD3/PFDN1/SVIL/SYNPO/SYNPO2/SYNPO2L/TMOD1/TMOD4/TPM1/TRIM54,16,0.06662462235100712,GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION
GOBP_BONE_DEVELOPMENT,0.003482184919930865,0.06750081537096754,3.2978818283166107,7,23,GO:BP,4.426196808510638,yellow,Bone Development,ACTN3/BGN/COL1A1/COL3A1/COL6A1/FBN1/PRKG1,7,0.06750081537096754,GOBP_BONE_DEVELOPMENT
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,0.004123946371722951,0.08582963386148391,3.6119658119658125,6,18,Reactome,5.042328042328043,yellow,Binding And Uptake Of Ligands By Scavenger Receptors,COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/HSPH1,6,0.08582963386148391,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS
GOBP_PROTEIN_FOLDING,5.141803384591003e-10,5.182937811667731e-7,2.9139085894405046,35,94,GO:BP,4.5034258925351605,blue,Protein Folding,BAG3/CANX/CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/CRYAB/DNAJA1/DNAJA2/DNAJA4/ERO1A/HSP90AA1/HSP90AB1/HSP90B1/HSPA1A/HSPA2/HSPA4/HSPA5/HSPA8/HSPB1/HSPB2/HSPB6/HYOU1/LMAN1/NAA10/NUDC/P4HB/PDIA3/TBCB/TCP1/TXNDC5/UNC45B,35,5.182937811667731e-7,GOBP_PROTEIN_FOLDING
