row,module,fpr,tpr
ΔVL-responder,green,0.2666666666666667,0.5333333333333333
ΔVL-responder,green,0.2666666666666667,0.4666666666666667
ΔVL-responder,green,0.19999999999999996,0.4666666666666667
ΔVL-responder,green,0.19999999999999996,0.4
ΔVL-responder,green,0.1333333333333333,0.4
ΔVL-responder,green,0.1333333333333333,0.3333333333333333
ΔVL-responder,green,0.1333333333333333,0.26666666666666666
ΔVL-responder,green,0.1333333333333333,0.2
ΔVL-responder,green,0.1333333333333333,0.13333333333333333
ΔVL-responder,green,0.06666666666666665,0.13333333333333333
ΔVL-responder,green,0.06666666666666665,0.06666666666666667
ΔVL-responder,green,0,0.06666666666666667
ΔVL-responder,green,0,0
ΔVL-responder,red,1,1
