gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
SAE1,43,69.35483870967742,16.688228653616257,1,1,1,3,MNAR,FALSE,4.997501249375312e-4
RNF7,0,0,20.76394439714597,NA,NA,NA,NA,Complete,TRUE,NA
MYOT,0,0,24.657181227850856,NA,NA,NA,NA,Complete,TRUE,NA
GNG12,0,0,19.060214301961892,NA,NA,NA,NA,Complete,TRUE,NA
VPS29,44,70.96774193548387,16.064786438812128,1,1,1,3,MNAR,FALSE,4.997501249375312e-4
EIF3K,0,0,22.678946338821856,NA,NA,NA,NA,Complete,TRUE,NA
GRHPR,0,0,23.552937414485406,NA,NA,NA,NA,Complete,TRUE,NA
CTSZ,12,19.35483870967742,17.32850561552184,1,1,1,3,MNAR,TRUE,0.01699150424787606
UBA2,25,40.32258064516129,16.287014904361723,1,1,1,3,MNAR,TRUE,0.1794102948525737
COPS7A,2,3.225806451612903,20.235038456874243,0,0,0,0,MAR,TRUE,NA
HSPB7,0,0,26.70118429098966,NA,NA,NA,NA,Complete,TRUE,NA
CLIP2,25,40.32258064516129,19.529418567037133,1,0,0,1,MAR,TRUE,NA
UQCR10,0,0,25.800685477333786,NA,NA,NA,NA,Complete,TRUE,NA
DNAJB4,5,8.064516129032258,18.020766977093274,0,1,0,1,MAR,TRUE,NA
NIPSNAP3A,13,20.967741935483872,21.357591902914876,0,0,0,0,MAR,TRUE,NA
TES,40,64.51612903225806,16.139261739196517,1,1,1,3,MNAR,FALSE,0.0024987506246876563
KDM5B,4,6.451612903225806,19.839716133582247,0,0,0,0,MAR,TRUE,NA
WARS2,40,64.51612903225806,15.150898040210944,1,1,1,3,MNAR,FALSE,4.997501249375312e-4
MLX,22,35.483870967741936,19.93981967037778,0,0,0,0,MAR,TRUE,NA
SEPTIN9,21,33.87096774193548,17.594348143313272,1,1,1,3,MNAR,TRUE,9.995002498750624e-4
UBQLN2,8,12.903225806451612,16.12566864861855,1,1,1,3,MNAR,TRUE,0.013493253373313344
PCYOX1,0,0,23.395209371817142,NA,NA,NA,NA,Complete,TRUE,NA
DPP7,31,50,14.17734846322122,1,1,1,3,MNAR,FALSE,0.001999000499750125
SMPX,0,0,24.389374773342414,NA,NA,NA,NA,Complete,TRUE,NA
BCAP29,11,17.741935483870968,19.36747605657233,0,0,0,0,MAR,TRUE,NA
