"gene","cv_pre","cv_post","delta_cv","age"
"PRPSAP2",31.8815281690527,36.7951442397979,4.91361607074525,"Young"
"SPAG9",19.5878420091331,34.0464994152547,14.4586574061215,"Young"
"OPA1",15.7361493449383,17.4680431533829,1.7318938084446,"Young"
"TBC1D4",26.356631753127,18.9350941173056,-7.42153763582134,"Young"
"SNX3",15.6546243663604,15.9659247833491,0.311300416988697,"Young"
"SYNCRIP",16.8138906900776,15.5351958724295,-1.27869481764809,"Young"
"KLHL41",46.211382157257,72.4977900668562,26.2864079095992,"Young"
"PLIN3",21.3116467311016,24.9236543762182,3.61200764511662,"Young"
"KPNA6",15.9041603190131,22.6788381961176,6.77467787710446,"Young"
"SNX2",17.0154002337187,20.3773701542637,3.36196992054505,"Young"
"USO1",16.4038188767052,21.2764531141781,4.87263423747294,"Young"
"TOM1",18.2133212789597,20.639695978953,2.42637469999333,"Young"
"PFKFB2",24.5565098788005,31.2377143932922,6.68120451449167,"Young"
"EDF1",18.8513006042886,17.0593967608338,-1.79190384345478,"Young"
"DNAJA2",14.4567264112444,13.8248663221088,-0.63186008913555,"Young"
"CUTA",43.7034513954208,25.567211739763,-18.1362396556577,"Young"
"PFDN1",15.8527801265423,16.9516849804415,1.09890485389915,"Young"
"NOL3",26.4703430958296,21.7875704397262,-4.68277265610331,"Young"
"WDR1",18.993867677945,16.2997282703415,-2.69413940760355,"Young"
"LDB3",13.6439668123676,20.2776180508406,6.63365123847296,"Young"
"CLASP2",15.037317151549,34.5065597899246,19.4692426383756,"Young"
"COBL",39.4292249232928,45.4695528465177,6.04032792322494,"Young"
"CPNE3",16.1054274697368,19.0805838692417,2.97515639950482,"Young"
"CLUH",53.4063023217614,32.3677414830216,-21.0385608387398,"Young"
"CAND2",26.7113052748524,20.8882541883171,-5.82305108653532,"Young"
"COQ9",25.0791514781783,16.9872778287419,-8.09187364943638,"Young"
"GGCT",24.165490750647,22.3965798686648,-1.76891088198212,"Young"
"NDUFS7",23.4115017341046,46.0121251273112,22.6006233932066,"Young"
"RTN2",14.9902799674464,17.1687555611009,2.1784755936545,"Young"
"NDUFS2",19.0522824243126,41.1170629043976,22.064780480085,"Young"
"NIPSNAP2",32.38890349071,32.0834423877962,-0.305461102913796,"Young"
"TBCA",16.9280152379277,18.7772398459891,1.84922460806143,"Young"
"ATP6V1G1",16.0516608728725,14.9380064863721,-1.1136543865004,"Young"
"VPS4B",36.7043330154296,40.7502624193925,4.04592940396294,"Young"
"MACROH2A1",45.7491245665065,40.6548596483924,-5.09426491811406,"Young"
"SH3BGRL",43.4459736810746,28.9120175401026,-14.533956140972,"Young"
"FLNB",38.9812733549453,39.258675801821,0.277402446875648,"Young"
"NDUFS6",18.099968833409,40.2816554552444,22.1816866218353,"Young"
"CS",21.3548959370938,15.7236959740887,-5.63119996300507,"Young"
"SEC22B",14.0038630981078,25.381157870469,11.3772947723612,"Young"
"MTX2",17.2192235091756,16.927752739594,-0.291470769581533,"Young"
"VPS26A",15.3198081998718,19.1649470964007,3.84513889652889,"Young"
"NDUFB1",36.3550191149591,36.88963240392,0.534613288960877,"Young"
"PMPCB",22.6944545975299,20.8658483599122,-1.82860623761773,"Young"
"NDUFS3",19.8239740099846,33.3562921677401,13.5323181577555,"Young"
"ECI2",19.7893769281321,24.457582020781,4.66820509264888,"Young"
"BANF1",40.3926896344719,32.1570733498636,-8.23561628460827,"Young"
"CSDE1",22.5822047406256,18.7588137133059,-3.82339102731973,"Young"
"PRKRA",24.9361901851135,41.4078553967134,16.4716652115999,"Young"
"LYPLA1",23.7211100675687,26.1650131361856,2.44390306861689,"Young"
"TIPRL",16.5783032065374,17.1892204072739,0.610917200736495,"Young"
"PPM1B",27.6606624928095,32.3243682225842,4.6637057297747,"Young"
"SLC25A12",20.8048663359486,21.5824671347987,0.777600798850077,"Young"
"TCEA3",23.495767119633,9.99336541690116,-13.5024017027318,"Young"
"EIF3G",38.0255207587973,20.9312941278378,-17.0942266309596,"Young"
"EIF3J",14.9477382579913,16.3225273124843,1.37478905449304,"Young"
"PSMD10",17.3347703768293,19.6838069200509,2.34903654322165,"Young"
"IDH1",15.5647781019437,18.0712799575493,2.50650185560559,"Young"
"SCO1",36.1406523229889,16.4714961151528,-19.6691562078361,"Young"
"ALDH1L1",25.144185047408,21.9294148782638,-3.21477016914423,"Young"
"ARL6IP5",9.73151495751332,19.7791883019351,10.0476733444218,"Young"
"DYSF",14.9848215319089,17.7055755386514,2.72075400674242,"Young"
"PIAS2",24.1285233121954,21.268716748546,-2.85980656364936,"Young"
"DCTN3",12.6435315451248,23.611925366175,10.9683938210502,"Young"
"ATP5PD",16.2926514025635,15.0093457925427,-1.2833056100208,"Young"
"FLOT1",21.0658855420052,14.6930082350485,-6.37287730695667,"Young"
"ATP5MG",16.8398214794287,11.5090052525189,-5.33081622690979,"Young"
"GLRX3",33.2889625232055,23.004314771427,-10.2846477517785,"Young"
"DDAH1",13.1727439871912,20.0910722810819,6.91832829389078,"Young"
"BAIAP3",27.5908804998487,26.8604962554848,-0.730384244363869,"Young"
"TOMM70",26.8038793219588,24.1203140380114,-2.68356528394743,"Young"
"UFL1",25.9742334367225,18.4018174932458,-7.57241594347672,"Young"
"TMEM63A",33.6482445895177,27.857074177433,-5.79117041208469,"Young"
"PLPBP",15.6566535067307,13.62222665864,-2.03442684809073,"Young"
